COUNTY,demperc12,demperc14,demperc16,demperc18
Anderson,0.22970639,0,0,0.214169602
Andrews,0.148148148,0,0,0.158799322
Angelina,0.266403741,0.212564087,0.23497322,0.252437418
Aransas,0.268553068,0.229800458,0.235387046,0.224855363
Archer,0,0.091481481,0,0.085024685
Armstrong,0,0.07504363,0,0.063122924
Atascosa,0.515211068,0.548764458,0.447860287,0.579948001
Austin,0.170183799,0.132216531,0.155184917,0.183505155
Bailey,0,0.132338308,0,0.219330855
Bandera,0.180918654,0,0.147803317,0.196741725
Bastrop,0.378687513,0.340594987,0.355095541,0.405487584
Baylor,0,0.133886256,0,0.105390185
Bee,0.403718126,0.442999235,0.418100401,0.392108508
Bell,0.361340762,0.297453137,0.343119359,0.428041209
Bexar,0.519887063,0.553685516,0.53346384,0.586385807
Blanco,0.232703138,0,0.192228336,0.259532807
Borden,0,0.049429658,0,0.037463977
Bosque,0.200598802,0.154980804,0.163799646,0.178630591
Bowie,0.271873763,0,0,0.263717746
Brazoria,0.301940511,0.283263524,0.337123525,0.377330304
Brazos,0,0.246171263,0.283242991,0.37558765
Brewster,0.571392016,0.583926755,0.522467986,0.499510524
Briscoe,0,0.110056926,0,0.090189873
Brooks,0.834088102,0.64385197,0.741353383,0.783783784
Brown,0.136086614,0,0,0.117190029
Burleson,0,0.207502374,0.19801838,0.204511051
Burnet,0.212023649,0.17807309,0.189424604,0.221366287
Caldwell,0.469042477,0.423681257,0.425980153,0.457053618
Calhoun,0.38372093,0.292337257,0.302388018,0.288066515
Callahan,0.148572502,0,0,0.102508394
Cameron,0.652838286,0.632162022,0.661993653,0.632904055
Camp,0.320876586,0,0,0.275198769
Carson,0,0.087982833,0,0.079480941
Cass,0.26072523,0,0,0.188624771
Castro,0,0.164440735,0,0.228691477
Chambers,0.18344762,0.15298683,0,0.182790057
Cherokee,0.235453482,0,0,0.210084589
Childress,0,0.101818182,0,0.112930548
Clay,0,0.10916725,0,0.106635623
Cochran,0,0.131313131,0,0.18115942
Coke,0.116229624,0,0,0.079562044
Coleman,0.134020619,0,0,0.103987241
Collin,0.250803007,0.282056472,0.337397396,0.423956739
Collingsworth,0,0.104819277,0,0.094936709
Colorado,0.235055351,0.185632184,0.206727971,0.225465919
Comal,0.206346146,0.317343834,0.199901799,0.262071401
Comanche,0.181113604,0,0,0.144768069
Concho,0.168287938,0,0,0.134010152
Cooke,0,0.112976407,0,0.148963908
Coryell,0.298296635,0.218024579,0.265086091,0.301277282
Cottle,0,0.114441417,0,0.152364273
Crane,0.222741433,0.247943596,0.225829726,0.221800948
Crockett,0.392612859,0.398802395,0.331182796,0.260971787
Crosby,0,0.215703971,0,0.264542936
Culberson,0.5875,0.619335347,0.616688396,0.532332564
Dallam,0,0.097560976,0,0.107364685
Dallas,0.539815919,0.515505075,0.65732339,0.628986732
Dawson,0.238539665,0,0,0.224503311
Deaf Smith,0,0.147403072,0,0.241352201
Delta,0.218368344,0,0,0.158486708
Denton,0.299661213,0.338156435,0.317529348,0.413052063
Dickens,0,0.1003861,0,0.12335958
Dimmit,0.701507882,0.682555781,0.631937984,0.686141304
Donley,0,0.097457627,0,0.087869362
Duval,0.780089485,0.706886404,0.697919102,0.734922179
Eastland,0.163418291,0,0,0.120914507
Ector,0.220574968,0,0,0.25510764
Edwards,0.259887006,0.324115044,0.262012693,0.187256177
El Paso,0.653752844,0.680042671,0.773283871,0.680228075
Ellis,0.243235781,0.21489342,0.229181882,0.296170912
Erath,0.156998739,0.139052425,0.150902969,0.174153749
Falls,0,0.265971317,0.288,0.294644762
Fannin,0.227280891,0,0,0.176362128
Fayette,0.212341712,0.153362171,0.164830243,0.192596108
Fisher,0,0.309236948,0,0.204819277
Floyd,0,0.108378871,0,0.220510096
Foard,0,0.265861027,0,0.225950783
Fort Bend,0.418935165,0.408863539,0.480368353,0.528849202
Franklin,0.172851104,0,0,0.14217653
Freestone,0,0.186418109,0.175436328,0.195737016
Frio,0.580403889,0.545013477,0.512642649,0.540342298
Gaines,0,0.093131548,0,0.121495327
Galveston,0.400148842,0.319084622,0.337827703,0.368857762
Garza,0,0.099881094,0,0.133436773
Gillespie,0.152657159,0,0.142728972,0.19796227
Glasscock,0.050086356,0,0,0.05045045
Goliad,0.278079451,0.319942611,0.285865537,0.250567997
Gonzales,0.281043593,0.217075141,0.241612852,0.23250444
Gray,0,0.062334218,0,0.087868198
Grayson,0.24022809,0,0,0.234841838
Gregg,0.281709898,0.245082177,0.264342037,0.290714954
Grimes,0.257181943,0,0,0.217521269
Guadalupe,0.293906666,0.271865913,0.292686703,0.348623349
Hale,0,0.128457143,0,0.230892785
Hall,0,0.124361158,0,0.143003064
Hamilton,0.17652027,0.156725627,0.130387044,0.15230401
Hansford,0,0.030603805,0,0.057759627
Hardeman,0,0.161434978,0,0.124037639
Hardin,0.163531384,0.117379748,0,0.128907986
Harris,0.475154307,0.450259278,0.525698358,0.556851891
Harrison,0.307060256,0.269981758,0.254307451,0.261681012
Hartley,0,0.078994614,0,0.075729361
Haskell,0,0.248127341,0,0.150684932
Hays,0.387595455,0.388579528,0.39009145,0.496247612
Hemphill,0,0.075903614,0,0.090116279
Henderson,0.212839771,0,0,0.181393452
Hidalgo,0.712025787,0.648727281,0.666280654,0.719033726
Hill,0.247882924,0.177012771,0.189887898,0.203494976
Hockley,0,0.128246753,0,0.175225595
Hood,0.170726306,0,0,0.164481288
Hopkins,0.242766408,0,0,0.194097426
Houston,0.271784232,0,0,0.226106911
Howard,0,0.146626197,0,0.216909778
Hudspeth,0.48783314,0.4125,0.42250287,0.412715517
Hunt,0.215838289,0,0,0.221441555
Hutchinson,0,0.081405694,0,0.094186571
Irion,0.130379747,0,0,0.105405405
Jack,0,0.109589041,0,0.094004966
Jackson,0.226050588,0.151001018,0.16600939,0.160092321
Jasper,0.259766913,0.194063288,0,0.185033445
Jeff Davis,0.542401343,0.582302569,0.421052632,0.380628717
Jefferson,0.578087235,0.462455082,0.47294986,0.483208831
Jim Hogg,0.821449617,0.762942779,0.767612077,0.769536424
Jim Wells,0.583863168,0.537308348,0.540342493,0.52929454
Johnson,0.212039312,0.166712198,0.182007504,0.21682811
Jones,0,0.166321397,0,0.151721377
Karnes,0.408514709,0.321359598,0.29782761,0.342974211
Kaufman,0.256400805,0,0,0.291311356
Kendall,0.154835103,0,0.145730365,0.210886752
Kenedy,0.401162791,0.56,0.548387097,0.458536585
Kent,0,0.211726384,0,0.090116279
Kerr,0.183646419,0,0.172683178,0.23461625
Kimble,0.104651163,0,0,0.098837209
King,0,0.010638298,0,0.022900763
Kinney,0.413043478,0.441419142,0.321927374,0.280133001
Kleberg,0.495617441,0.525961704,0.491579709,0.504202648
Knox,0,0.157777778,0,0.185961714
La Salle,0.584578601,0.556451613,0.541014699,0.572473404
Lamar,0.236960796,0,0,0.20253621
Lamb,0,0.141509434,0,0.182576193
Lampasas,0.200491669,0.158578118,0.170688221,0.197891963
Lavaca,0.201027234,0.139525692,0.1370663,0.118480361
Lee,0.230822873,0.194165694,0.186794754,0.207621326
Leon,0.150152905,0.101416172,0.108980827,0.115803815
Liberty,0.228396136,0.187766714,0,0.207767741
Limestone,0,0.215808994,0.216274911,0.226821906
Lipscomb,0,0.072072072,0,0.087638376
Live Oak,0.276945384,0.177163755,0.174337517,0.167849345
Llano,0.173523044,0,0,0.187621643
Loving,0.234375,0.238095238,0.136363636,0.160714286
Lubbock,0,0.225058784,0,0.308841829
Lynn,0,0.178364988,0,0.173325499
Madison,0.247517378,0,0,0.190823775
Marion,0.328926373,0,0,0.277606933
Martin,0.134220073,0,0,0.127538071
Mason,0.186354379,0,0,0.18495935
Matagorda,0.35044898,0.282565415,0.28956907,0.258649868
Maverick,0.758324686,0.788679948,0.727112158,0.688195991
McCulloch,0.154859967,0,0,0.130114265
McLennan,0,0.27185429,0.305981824,0.341826435
McMullen,0.354961832,0.59245283,0.240480962,0.3401222
Medina,0.312044364,0.279671333,0.249135148,0.259755495
Menard,0.183580388,0,0,0.155696203
Midland,0.161166778,0,0,0.184950725
Milam,0,0.233287046,0.218778383,0.236623215
Mills,0.130276895,0,0,0.112047595
Mitchell,0.209212226,0,0,0.136623377
Montague,0,0.103650491,0,0.107971208
Montgomery,0.173300295,0,0,0.234934415
Moore,0,0.088680606,0,0.171548117
Morris,0.349332301,0,0,0.283739456
Motley,0,0.034759358,0,0.072356215
Nacogdoches,0.291574493,0.236861768,0.27944906,0.32566168
Navarro,0.26387272,0.205763867,0.224513382,0.261537397
Newton,0.317771341,0.246646027,0,0.211330363
Nolan,0,0.183135215,0,0.197455346
Nueces,0.461293852,0.427206199,0.489923771,0.474432331
Ochiltree,0,0.035065748,0,0.075970273
Oldham,0,0.042628774,0,0.070904645
Orange,0.240006516,0.209457113,0,0.182021281
Palo Pinto,0.206362672,0,0,0.176613243
Panola,0.223502979,0.184410646,0.17097852,0.177603099
Parker,0.136894687,0.129319815,0.119804824,0.144897406
Parmer,0,0.095545977,0,0.17063685
Pecos,0.460388994,0.571660182,0.419009052,0.366815893
Polk,0.24692452,0.185780908,0,0.223713115
Potter,0,0.174821647,0,0.263853211
Presidio,0.69541779,0.782857143,0.650519031,0.714883443
Rains,0.180627625,0,0,0.153706642
Randall,0,0.102030761,0,0.158980708
Reagan,0.172254335,0.294003868,0.193997856,0.178359096
Real,0.160517799,0,0.109741784,0.160407384
Red River,0.273844353,0,0,0.214027149
Reeves,0.606882169,0.662305805,0.542012927,0.542407944
Refugio,0.383886256,0.345067161,0.343150232,0.336396324
Roberts,0,0.034090909,0,0.033898305
Robertson,0,0.327791903,0.281175313,0.290225801
Rockwall,0.185612714,0,0,0.26371526
Runnels,0.139312977,0,0,0.097973995
Rusk,0.22358788,0.179119947,0.189855674,0.206083557
Sabine,0.192836864,0.139862667,0.130462863,0.122546553
San Augustine,0.319512195,0.285976505,0.242525845,0.239920687
San Jacinto,0.238070753,0,0,0.17547614
San Patricio,0.382882662,0.350622934,0.371066612,0.35810996
San Saba,0.126209323,0,0,0.10587103
Schleicher,0.238938053,0.36744186,0.208884688,0.202716823
Scurry,0,0.106478291,0,0.131632885
Shackelford,0,0.073619632,0,0.066460587
Shelby,0.254906189,0.193353474,0.185545594,0.193433544
Sherman,0,0.061666667,0,0.083839611
Smith,0.25543302,0.224020166,0.245782002,0.27904634
Somervell,0.170104549,0.136141907,0.132700205,0.15569347
Starr,0.857958306,0.836591664,0.748122521,0.767567113
Stephens,0.179819395,0.073504274,0,0.097306397
Sterling,0.069473684,0,0,0.061099796
Stonewall,0,0.22622108,0,0.14910859
Sutton,0.26551034,0.208499336,0.22027972,0.198511166
Swisher,0,0.185362517,0,0.193447738
Tarrant,0.38293805,0.378669839,0.386765269,0.456844703
Taylor,0,0.168173599,0,0.223868974
Terrell,0.451013514,0.550827423,0.428246014,0.347648262
Terry,0,0.166157872,0,0.196162047
Throckmorton,0,0.108411215,0,0.093969144
Titus,0.292497733,0,0,0.259772699
Tom Green,0.22421024,0,0,0.232128445
Travis,0.568610592,0.559871188,0.596916027,0.702873275
Trinity,0.251122514,0,0,0.173392547
Tyler,0.231537962,0.161960133,0,0.146045474
Upshur,0.190770039,0.174980814,0.165133779,0.15879646
Upton,0.259865972,0.389552239,0.227575982,0.171511628
Uvalde,0.487018376,0.448838549,0.420272348,0.41499314
Val Verde,0.563963964,0.604272063,0.509931875,0.474779481
Van Zandt,0.159449024,0,0,0.138579697
Victoria,0.301449873,0.24210465,0.285773288,0.274172282
Walker,0.29573495,0,0,0.309549146
Waller,0.391650973,0.26161583,0.318511584,0.36354893
Ward,0.32357473,0.381168177,0.251815277,0.282838622
Washington,0.208195135,0.170583692,0.193066667,0.214701762
Webb,0.860446443,0.858381924,0.85483395,0.864506985
Wharton,0.306571911,0.218586387,0.281151234,0.271650515
Wheeler,0,0.071639586,0,0.062636166
Wichita,0,0.19631873,0,0.243726136
Wilbarger,0,0.167211923,0,0.198437952
Willacy,0.652807461,0.616346583,0.663297045,0.651374063
Williamson,0.333791625,0.32451999,0.363903975,0.49295842
Wilson,0.358697545,0.413935212,0.315567878,0.400462702
Winkler,0.242979943,0.261928934,0.21158958,0.22085048
Wise,0.150050736,0.132952053,0.135502211,0.1415151
Wood,0.17308458,0.121615814,0.134937094,0.151003731
Yoakum,0,0.097222222,0,0.159518828
Young,0,0.101532213,0,0.119117875
Zapata,0.822075783,0.878172589,0.781778334,0.822312191
Zavala,0.770599507,0.780241935,0.728318584,0.778196778
